epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,6260.15,0.94781,0.80849,1.15747,0.81571,0.8466,0.87205,0.65242,0.94187,0.67462,1.09898,0.00677543,0.00677543,0.00677543
60,6366.35,0.94749,0.80665,1.15991,0.81696,0.84625,0.87322,0.65295,0.94149,0.67305,1.09865,0.00667789,0.00667789,0.00667789
61,6473.09,0.94125,0.80235,1.15651,0.81834,0.84753,0.87368,0.65358,0.94122,0.67158,1.09831,0.00657963,0.00657963,0.00657963
62,6579.6,0.94152,0.80026,1.15405,0.82082,0.84628,0.87472,0.65433,0.94116,0.67028,1.09816,0.00648071,0.00648071,0.00648071
63,6685.94,0.93854,0.79605,1.15297,0.82163,0.84715,0.87539,0.65527,0.94051,0.66893,1.09768,0.00638115,0.00638115,0.00638115
64,6791.41,0.93055,0.79318,1.14945,0.8235,0.84747,0.87635,0.65561,0.9399,0.66751,1.09713,0.00628101,0.00628101,0.00628101
65,6897.16,0.93295,0.78708,1.151,0.82471,0.84667,0.87707,0.65681,0.93929,0.66607,1.09654,0.00618034,0.00618034,0.00618034
66,7002.79,0.92749,0.78864,1.14772,0.82584,0.84727,0.87778,0.65746,0.93851,0.66459,1.09609,0.00607916,0.00607916,0.00607916
67,7108.73,0.92472,0.77691,1.14574,0.82566,0.84767,0.87768,0.65844,0.93774,0.66313,1.09537,0.00597754,0.00597754,0.00597754
68,7215.01,0.92426,0.77604,1.14596,0.82753,0.84705,0.87818,0.65945,0.93716,0.66202,1.09491,0.00587551,0.00587551,0.00587551
69,7320.85,0.92602,0.77233,1.14542,0.82772,0.84775,0.87901,0.66016,0.93682,0.66069,1.09476,0.00577311,0.00577311,0.00577311
70,7427.17,0.92138,0.76639,1.14375,0.82945,0.84683,0.8796,0.6611,0.93614,0.65939,1.09437,0.0056704,0.0056704,0.0056704
71,7532.07,0.9172,0.76198,1.13861,0.83045,0.84709,0.88033,0.66172,0.93573,0.65828,1.09382,0.00556742,0.00556742,0.00556742
72,7636.89,0.91541,0.75823,1.13808,0.83134,0.84837,0.88083,0.66227,0.93557,0.65688,1.09361,0.00546421,0.00546421,0.00546421
73,7743.09,0.90987,0.74819,1.13703,0.83073,0.85039,0.88107,0.663,0.93495,0.65546,1.09309,0.00536081,0.00536081,0.00536081
74,7849.43,0.91612,0.75207,1.13739,0.83124,0.85143,0.88165,0.66316,0.9344,0.65403,1.09238,0.00525728,0.00525728,0.00525728
75,7955.62,0.90853,0.74661,1.13289,0.83278,0.85037,0.88171,0.66344,0.93368,0.65284,1.09173,0.00515366,0.00515366,0.00515366
76,8061.76,0.90806,0.74687,1.13118,0.83459,0.85046,0.88236,0.66453,0.93326,0.65137,1.09111,0.00505,0.00505,0.00505
77,8168.28,0.90464,0.73702,1.13364,0.83373,0.85228,0.88321,0.66546,0.93262,0.64991,1.09058,0.00494634,0.00494634,0.00494634
78,8274.02,0.90168,0.73282,1.13046,0.83399,0.8533,0.88389,0.66616,0.93174,0.64843,1.09,0.00484272,0.00484272,0.00484272
79,8379.55,0.90063,0.73305,1.12483,0.83491,0.85326,0.88463,0.66709,0.93144,0.64689,1.08969,0.00473919,0.00473919,0.00473919
80,8485.42,0.8935,0.72765,1.12512,0.83569,0.85394,0.88513,0.6675,0.93125,0.64562,1.08977,0.00463579,0.00463579,0.00463579
81,8591.78,0.89634,0.72723,1.12527,0.83471,0.85421,0.88559,0.66833,0.93067,0.64415,1.08932,0.00453258,0.00453258,0.00453258
82,8698.24,0.89228,0.71328,1.12312,0.83535,0.8556,0.88633,0.66893,0.93009,0.64283,1.08887,0.0044296,0.0044296,0.0044296
83,8804.84,0.88605,0.7109,1.11956,0.83598,0.85491,0.88652,0.66942,0.92963,0.6414,1.08858,0.00432689,0.00432689,0.00432689
84,8911.34,0.88126,0.70776,1.11778,0.83699,0.85567,0.88717,0.67031,0.92887,0.64007,1.0881,0.00422449,0.00422449,0.00422449
85,9016.75,0.88412,0.70714,1.11688,0.83628,0.85666,0.88789,0.6708,0.92831,0.63902,1.08766,0.00412246,0.00412246,0.00412246
86,9122.24,0.87603,0.70071,1.11354,0.83574,0.85774,0.88805,0.67126,0.92775,0.63757,1.08701,0.00402084,0.00402084,0.00402084
87,9227.46,0.88013,0.69947,1.11568,0.83475,0.85994,0.88939,0.67213,0.92707,0.63657,1.08641,0.00391966,0.00391966,0.00391966
88,9332.98,0.8717,0.69261,1.11296,0.83575,0.86025,0.88994,0.67286,0.9261,0.6353,1.08584,0.00381899,0.00381899,0.00381899
89,9438.69,0.87078,0.68885,1.11229,0.83826,0.85969,0.88997,0.67363,0.9253,0.63413,1.08524,0.00371885,0.00371885,0.00371885
90,9544.79,0.86448,0.68352,1.10721,0.83901,0.86007,0.89029,0.67406,0.92463,0.63262,1.08471,0.00361929,0.00361929,0.00361929
91,9651.8,0.86582,0.67794,1.10663,0.83915,0.86079,0.89083,0.6749,0.92447,0.6317,1.08446,0.00352037,0.00352037,0.00352037
92,9758.71,0.86311,0.67474,1.10493,0.83956,0.86176,0.89153,0.6757,0.92377,0.63023,1.08387,0.00342211,0.00342211,0.00342211
93,9865.37,0.85242,0.66873,1.10136,0.84102,0.86084,0.89239,0.6761,0.92344,0.62918,1.08336,0.00332457,0.00332457,0.00332457
94,9971.93,0.85476,0.66494,1.10027,0.84331,0.86147,0.89352,0.67674,0.92283,0.6281,1.08293,0.00322778,0.00322778,0.00322778
95,10078.3,0.84927,0.6613,1.09921,0.84461,0.86151,0.89426,0.67769,0.92221,0.627,1.08252,0.0031318,0.0031318,0.0031318
96,10184.9,0.84632,0.65352,1.09493,0.84595,0.86191,0.89485,0.67827,0.92166,0.62616,1.08225,0.00303665,0.00303665,0.00303665
